name,type,area,direction,fitment,elevator,total_price,unit_price,property
长城二花园 ,3室2厅,98.63,北 南,简装,有,1520,154112,共有
加洲花园 ,3室1厅,74.8,西北,精装,无,338,45188,非共有
京基一百大厦 ,2室1厅,62.54,西南,精装,有,530,84746,共有
鸿荣源尚峰 ,2室2厅,68.65,东,精装,有,460,67007,共有
星河盛世 ,2室2厅,75.65,西,精装,有,670,88566,非共有
中海西岸华府南区 ,3室2厅,76.53,南,精装,有,425,55534,非共有
天安公寓 ,2室1厅,36.49,东南,简装,无,280,76734,非共有
香山美墅二期 ,5室2厅,244.19,东南 南,精装,有,3650,149474,非共有
园岭新村 ,2室1厅,53.01,北,精装,无,698,131674,非共有
德意名居一期 ,3室2厅,86.85,南 北,简装,有,830,95568,非共有
水木华庭 ,2室2厅,78.52,南,简装,有,645,82145,非共有
皇庭彩园 ,1室1厅,43.47,东北,精装,有,388,89257,非共有
太古城南 ,2室2厅,59.14,西南,简装,有,1080,182618,非共有
香缤广场 ,2室1厅,68.66,西南,简装,有,560,81562,非共有
福永花苑 ,3室2厅,76.5,东 东南,简装,有,380,49674,非共有
华业玫瑰四季馨园一期 ,1室1厅,44.53,西南,精装,有,436,97912,非共有
恒立心海湾花园 ,3室1厅,88.13,东南,简装,有,1050,119143,非共有
半岛城邦花园一期 ,4室2厅,137.94,西南,精装,有,2100,152241,非共有
天地峰景 ,3室2厅,110.8,东南,精装,有,900,81228,共有
桃源村二期 ,3室1厅,93.13,西南,简装,有,600,64427,非共有
深业新岸线二期 ,4室2厅,134.8,西南,毛坯,有,1450,107567,非共有
香山里 ,3室1厅,151.61,东南,精装,有,1400,92343,非共有
花园城三期 ,3室1厅,93,南,简装,有,1020,109678,非共有
颐安都会中央二期 ,4室2厅,119.86,南,毛坯,有,740,61739,非共有
祥云天都世纪大厦 ,3室2厅,79.48,东南,简装,有,560,70458,非共有
桃源村二期 ,3室1厅,90.75,北,简装,有,578,63692,非共有
东方花园桂花苑 ,4室1厅,135.41,南 北,精装,无,980,72373,共有
晶品居 ,3室1厅,85.05,东,精装,有,1140,134039,非共有
京光海景花园 ,3室1厅,121.03,西南,精装,有,860,71057,非共有
万科城一期 ,3室2厅,97.01,南,精装,无,650,67004,非共有
天悦龙庭二期 ,4室2厅,144.7,南,精装,有,1528,105598,非共有
金众云山栖 ,3室2厅,87.22,南,毛坯,有,340,38982,非共有
丰华苑 ,3室2厅,110.28,西南,简装,有,1260,114255,非共有
凤凰街58号大院 ,3室2厅,97.13,南,简装,无,555,57140,非共有
华业玫瑰四季馨园二期 ,3室2厅,91.08,南,精装,有,732,80369,共有
碧海富通城四期 ,1室1厅,30.35,西南,精装,有,303.5,100000,非共有
信义假日名城六期溢芳园 ,1室1厅,44.59,西北,简装,有,240,53824,非共有
群贤花园 ,2室1厅,77.95,西南,精装,有,486,62348,非共有
翡翠星光园 ,1室0厅,34.23,东,简装,有,160.5,46889,非共有
宝龙花园 ,2室1厅,57.53,东南,精装,有,205,35634,非共有
德福花园 ,2室1厅,43.07,北,简装,无,134,31113,非共有
百仕达乐湖 ,2室1厅,87.23,东北,简装,有,588,67409,非共有
迷你新居福田 ,2室1厅,35.28,南,精装,有,298,84468,非共有
金水湾御园 ,1室1厅,35.84,西北,简装,有,144,40179,非共有
星桂园 ,2室1厅,60.91,东,精装,有,426,69940,非共有
合正荣悦 ,2室1厅,65.97,东南,精装,有,660,100046,非共有
京基一百大厦 ,1室1厅,43.09,东,简装,有,330,76584,共有
阳基新天地 ,2室2厅,75,东南,简装,有,275,36667,非共有
金色都汇 ,1室0厅,36.35,西南,精装,有,196,53921,非共有
合能城市阳光花园 ,2室2厅,67.61,东北,精装,有,284,42006,非共有
中南明珠苑 ,2室1厅,74.24,南,精装,有,320,43104,非共有
京基东方都会 ,1室1厅,35.06,北,精装,有,190,54193,非共有
鸿润豪苑 ,2室1厅,67.97,南 北,精装,有,250,36778,共有
鹏公馆 ,1室1厅,36.66,西南,精装,有,450,122750,非共有
朗庭豪园 ,2室1厅,71.68,东北,简装,有,585,81613,非共有
振业峦山谷 ,2室2厅,64.29,西南,精装,有,249.8,38856,非共有
超群大厦 ,1室1厅,48.83,南,精装,无,180,36863,非共有
振业峦山谷 ,3室1厅,88.78,南,精装,有,323,36383,非共有
金成时代家园 ,2室2厅,81.71,西南,精装,有,815,99743,非共有
豪方悠然居 ,2室2厅,73.37,南,精装,有,780,106311,非共有
南塘物业小区 ,2室1厅,40.52,东,简装,有,185,45657,非共有
阳光花园 ,2室1厅,55.87,东 北,简装,有,266,47611,非共有
东方盛世花园 ,1室1厅,45.67,东北,精装,有,220,48172,共有
星湖花园 ,2室2厅,60.06,南,精装,有,345,57443,非共有
中信湾上六座 ,3室1厅,89.64,北,简装,有,830,92593,非共有
信义荔山公馆 ,2室1厅,73.81,东,精装,有,412.3,55860,非共有
黄金大厦 ,3室2厅,77.59,东南,精装,有,590,76041,非共有
华盛观荟名庭 ,4室2厅,88.36,北 南,精装,有,550,62246,非共有
凯丰花园综合楼 ,3室1厅,48.41,南,精装,无,306,63211,非共有
万科金域蓝湾二期 ,2室1厅,76.36,西南,精装,有,708,92719,非共有
松坪村西区三期 ,2室1厅,49.02,东南,精装,有,515,105060,非共有
俊景豪园 ,2室2厅,81.86,南,简装,有,760,92842,非共有
长城盛世家园一期 ,3室2厅,114.42,东 北,精装,有,795,69481,非共有
星海名城一期二组团 ,2室1厅,64.36,南,简装,有,620,96334,非共有
怡康家园 ,3室1厅,69.48,西,简装,有,283,40732,非共有
新亚洲花园 ,3室1厅,107.67,南,精装,有,425,39473,共有
珑门二期 ,3室2厅,82.62,东南,毛坯,有,420,50836,非共有
帝景峰 ,3室1厅,78.37,东南,简装,有,276,35218,非共有
鸿荣源·壹城中心第五区 ,4室2厅,86.92,西南,精装,有,678,78003,非共有
金地梅陇镇一期 ,3室2厅,107.95,东南,简装,有,698,64660,非共有
鸣泉居 ,3室2厅,92.8,南,简装,有,1380,148707,非共有
东方海雅居 ,2室2厅,64.21,北,简装,有,570,88772,非共有
万象新天 ,3室1厅,69.83,东南,精装,有,600,85923,非共有
万科东方尊峪 ,2室1厅,91.73,南,简装,有,550,59959,非共有
塘朗雅苑 ,2室1厅,45.06,北,简装,有,508,112739,非共有
平吉上苑 ,3室2厅,78.33,西,简装,有,390,49790,非共有
金运家园 ,3室2厅,74.74,北,简装,有,320,42816,共有
莱蒙水榭春天三期 ,4室2厅,113.85,南 北,简装,有,1000,87835,非共有
恒裕嘉城 ,4室2厅,88.12,东南,毛坯,有,325,36882,共有
信义假日名城六期溢芳园 ,3室2厅,99.94,东南,简装,有,460,46028,非共有
中粮云景国际 ,4室2厅,127.83,南 北,毛坯,有,730,57108,非共有
珑门二期 ,3室2厅,81.78,东南,精装,有,445,54415,非共有
韵动家园 ,1室1厅,47.51,南,简装,有,350,73669,非共有
万科第五园九期 ,3室1厅,88.55,南,精装,有,690,77923,共有
雅庭名苑 ,3室1厅,98.99,东南 西北,精装,无,369,37277,非共有
鸿荣源尚峰 ,3室1厅,73.77,东南,精装,有,540,73201,非共有
天骄世家 ,4室1厅,147.09,东南,精装,有,799,54321,非共有
宝城花园 ,3室1厅,83.05,西北,简装,无,410,49368,非共有
合正观澜汇 ,3室2厅,80.6,南 北,其他,有,550,68239,非共有
卓越皇后道 ,3室2厅,89.75,南,精装,有,695,77438,非共有
深业御园 ,3室1厅,77.69,南 北,简装,有,210,27031,共有
拾悦城 ,3室2厅,87.81,西北,毛坯,有,615,70038,非共有
信义御城豪园 ,3室1厅,89.17,西南,精装,有,405,45419,非共有
拾悦城 ,3室2厅,87.81,西北,毛坯,有,615,70038,非共有
华策中心城 ,3室1厅,84.09,东南,精装,有,380,45190,非共有
半岛城邦花园一期 ,3室1厅,100.12,西北,精装,有,1680,167799,非共有
阳光四季 ,4室1厅,148.26,南,精装,有,1480,99825,非共有
雅豪祥苑 ,3室1厅,66,南,简装,无,218,33031,非共有
尚景华园 ,3室1厅,102.94,东南,简装,无,409,39732,非共有
天朗风清 ,2室2厅,65.32,东北,精装,有,665,101807,非共有
雅福居 ,3室2厅,83.32,南,简装,有,1450,174028,共有
鸿荣源·壹成中心第六区 ,4室2厅,89.57,东南,毛坯,有,710,79268,非共有
颐安都会中央二期 ,3室1厅,88.04,东南,毛坯,有,520,59065,非共有
嘉年华名苑 ,1室1厅,43.93,东南,精装,有,345,78535,非共有
海珠城 ,2室1厅,77.92,东北,简装,有,708,90863,非共有
恒大国香山 ,3室1厅,88.48,东南,精装,有,399,45095,非共有
鸿荣源·尚峻 ,3室2厅,93.55,东南,毛坯,有,778,83165,非共有
景鹏大厦 ,3室2厅,85,东 东南 南,精装,有,550,64706,非共有
四季御园 ,3室1厅,86.41,北,精装,有,568,65734,非共有
熙龙湾二期 ,5室2厅,163.57,南,简装,有,2680,163845,非共有
桃源村二期 ,3室2厅,90.98,北,精装,有,650,71445,共有
21区灵芝新村 ,3室2厅,94.5,东南,简装,暂无数据,755,79895,共有
风临左岸 ,4室2厅,129.08,东南,精装,有,1700,131702,共有
中海丽苑 ,3室1厅,101.09,西南,简装,有,800,79138,非共有
南海大厦 ,3室1厅,67.18,东 北,精装,有,768,114320,非共有
海境界家园一期 ,4室2厅,88.94,南,精装,有,1480,166405,非共有
三湘海尚花园 ,5室1厅,175,东南,精装,有,2750,157143,非共有
金地上塘道二期 ,2室2厅,69.13,南,精装,有,506,73196,非共有
锦绣花园一期 ,3室2厅,116.89,东南,精装,有,948,81102,共有
阳光花园 ,1室1厅,46.37,北,简装,有,198,42701,非共有
锦上花家园 ,1室1厅,39.23,北,精装,有,221,56335,非共有
塘朗城广场东区 ,4室2厅,141.31,南 北,精装,有,1150,81382,非共有
第五大道高发西岸花园一期 ,3室1厅,113.84,西南,简装,有,1390,122102,非共有
鸿荣源尚峰 ,3室1厅,74.73,北 东北,精装,有,521,69718,非共有
城市假日花园 ,2室2厅,73.28,南 北,简装,无,680,92795,非共有
京基御景印象四期 ,3室2厅,88.33,东南,精装,有,365,41323,非共有
奥林华府 ,4室1厅,144.2,南,精装,有,895,62067,非共有
心海城 ,3室2厅,80.93,东南,简装,有,300,37070,非共有
阳光里雅居 ,2室1厅,45.46,南,精装,有,569,125165,共有
锦绣江南二期 ,3室2厅,99.33,南,简装,无,540,54365,非共有
花语岸 ,3室1厅,76.01,东南,精装,有,410,53941,非共有
南海台大厦 ,2室2厅,66.03,东南,精装,有,540,81782,非共有
奥园翡翠东湾 ,3室2厅,100.53,南,简装,有,324,32230,非共有
金海岸大厦 ,1室1厅,36.36,西北,简装,有,378,103961,非共有
鸿荣源·壹成中心第六区 ,4室2厅,88.38,东南,精装,有,720,81467,非共有
拾悦城 ,3室2厅,86.63,东南,毛坯,有,580,66952,非共有
星海名城一期一组团 ,2室1厅,70.43,南,简装,有,660,93711,共有
新华苑 ,3室1厅,98.05,东南,精装,有,570,58134,非共有
龙岗天健郡城 ,3室2厅,109.55,南,精装,有,470,42903,共有
佳兆业可园五期 ,4室2厅,91.69,东北,精装,有,515,56168,非共有
前海金岸 ,3室2厅,83.75,东南,精装,有,750,89553,非共有
桃源村一期 ,3室2厅,70.91,北,简装,无,520,73333,共有
向南西海花园 ,3室2厅,100.65,南,简装,有,850,84452,非共有
香诗美林 ,3室2厅,114.11,南 西北,精装,有,1150,100780,非共有
半岛城邦花园一期 ,5室1厅,219.36,南,精装,有,3050,139041,非共有
香山美树苑 ,4室2厅,139,南 北,精装,有,1900,136691,非共有
城市假日花园 ,3室2厅,124.77,南 北,精装,有,1020,81751,非共有
青春家园 ,3室2厅,94.43,东南,简装,有,999,105793,非共有
桂园 ,3室1厅,81.02,东南,简装,无,750,92570,非共有
京光海景花园 ,3室2厅,136,南 北,简装,有,915,67280,非共有
厚德品园 ,3室2厅,75,北,精装,有,980,130667,共有
名骏豪庭 ,3室1厅,85.23,北,精装,有,450,52799,非共有
莲塘花园 ,3室2厅,74.32,南,精装,无,353,47498,非共有
云景豪园 ,3室1厅,97.49,西南,精装,有,490,50262,非共有
仙桐御景 ,3室2厅,92.85,东北,精装,有,539,58051,非共有
源兴居 ,3室2厅,92.99,北,精装,有,520,55920,非共有
福景大厦 ,3室1厅,85.85,东北,精装,有,710,82703,非共有
华润城润府一期 ,4室1厅,86.83,西北,简装,有,1520,175055,非共有
新锦安雅园三期 ,5室2厅,198.27,南 西南,精装,有,1380,69603,非共有
桃源村三期 ,3室2厅,81.06,北,简装,有,665,82038,共有
泰华阳光海小区 ,5室2厅,167.85,东南,精装,无,1400,83408,非共有
首地容御 ,4室1厅,181.64,东南,简装,有,1750,96345,非共有
南粤明珠海洋之心 ,3室2厅,118.06,东南,简装,有,1420,120278,非共有
波托菲诺侨香诺园 ,3室2厅,142.6,东南,简装,有,1650,115709,非共有
宝能城 ,4室2厅,89.7,北,精装,有,1200,133780,共有
东门天下 ,3室1厅,90,西北,精装,有,597.8,66423,非共有
桃源村一期 ,3室2厅,71.57,北,精装,无,515,71958,非共有
东帝海景家园 ,3室2厅,113.9,西南,精装,有,1220,107112,非共有
东方花园桂花苑 ,3室2厅,123.2,东,精装,有,860,69806,非共有
庐峰翠苑 ,3室1厅,110.02,北,简装,有,820,74532,非共有
麒麟花园B区 ,4室2厅,119.53,北,精装,无,1170,97884,非共有
香山里 ,4室1厅,152,东南,精装,有,1450,95395,共有
观海台 ,3室1厅,122.16,东南,简装,有,1900,155534,非共有
世纪广场 ,3室2厅,91.94,东,简装,有,588,63955,非共有
宝能城 ,3室2厅,75.53,东 南,精装,有,1050,139018,非共有
桃源村二期 ,3室2厅,93.22,北,精装,有,640,68655,非共有
创业二村 ,3室2厅,88.09,西北,简装,无,750,85141,共有
学城绿园 ,3室2厅,92.5,南 北,简装,无,638,68973,非共有
桃源村一期 ,3室1厅,74.79,南,简装,无,578,77284,非共有
宝能悦澜山花园 ,6室2厅,120.15,东南,精装,有,595,49522,非共有
圣淘沙骏园 ,5室1厅,162.64,东南,精装,有,1495,91921,非共有
常丰花园 ,3室1厅,76.26,南,精装,无,538,70549,非共有
后海名苑居南区 ,3室2厅,90.58,北,简装,有,698,77059,共有
中粮锦云 ,3室1厅,78.52,东南,精装,有,680,86603,非共有
京光海景花园 ,4室2厅,121.03,西北,精装,有,880,72710,共有
福盈中央山 ,3室2厅,67.22,西南,精装,有,280,41655,非共有
中信红树湾南区 ,4室1厅,173.8,东南,精装,有,2200,126583,非共有
鹏都大厦 ,4室2厅,131.74,南,精装,有,820,62244,非共有
世纪村二期 ,4室2厅,155.28,东南 西南,简装,有,1650,106260,非共有
英达钰龙园 ,4室2厅,94.39,东南,精装,有,899,95244,非共有
鲸山觐海 ,4室2厅,201.5,东南,精装,有,2350,116626,非共有
信义荔山公馆 ,5室1厅,143.53,南,精装,有,865,60267,非共有
名骏豪庭 ,3室1厅,69.29,西北,简装,有,380,54842,非共有
深业新岸线三期 ,3室2厅,125.05,南 西南,精装,有,1230,98361,非共有
圣淘沙骏园 ,4室2厅,100.78,西南,精装,有,1020,101211,非共有
科技园三十四区 ,2室1厅,51.61,南,精装,无,750,145321,非共有
中泰天成南山一品 ,3室2厅,63.78,东南,精装,有,760,119160,非共有
信义金御半山一期 ,4室2厅,89.48,东南,精装,有,720,80465,非共有
椰风海岸 ,3室2厅,86.8,南,简装,有,875,100807,非共有
春天广场 ,3室2厅,101.42,南,精装,有,788,77697,非共有
蓝田壹站 ,2室1厅,51.5,南,精装,有,248,48156,非共有
万科红四期 ,3室1厅,89.28,南,精装,有,586,65637,非共有
汇鑫花园 ,3室1厅,64.56,东北,精装,有,373,57776,非共有
万科城二期 ,3室2厅,83.49,北,精装,有,530,63481,共有
新德家园 ,3室2厅,97.27,南,其他,有,975,100237,非共有
中海康城国际一期 ,4室1厅,159.23,东南,精装,有,680,42706,非共有
锦上花家园 ,2室1厅,60.49,西北,精装,有,317,52406,非共有
玉湖湾 ,2室1厅,42.03,东南,精装,有,438,104212,非共有
金城大厦 ,2室1厅,37.17,东,精装,有,175,47081,非共有
御河堤 ,1室0厅,33.21,西北,精装,有,230,69257,非共有
蜜园 ,2室1厅,57.55,北,简装,有,470,81669,非共有
金城大厦 ,2室1厅,44.42,东 东北,精装,有,207,46601,非共有
青春庭园 ,1室1厅,42.76,东南,精装,无,308,72030,非共有
英郡年华 ,2室1厅,70.61,东北,精装,有,335,47444,非共有
嘉亿爵悦 ,3室2厅,79,南,精装,有,400,50633,非共有
和成世纪名园 ,4室2厅,90.34,南 北,精装,有,595,65863,非共有
新安湖花园 ,3室2厅,99.2,南 北,精装,无,650,65525,共有
桃源居十二区 ,3室1厅,91.4,南,精装,有,505,55252,非共有
福临苑 ,2室1厅,57.77,西,简装,有,515,89147,非共有
帝景园 ,3室2厅,96.05,南,精装,有,1160,120771,共有
中海康城国际一期 ,3室1厅,86.26,西南,精装,有,410,47531,非共有
万科四季花城二期 ,3室2厅,98.36,东,精装,无,560,56934,非共有
宝安山庄 ,3室2厅,88.68,南,简装,无,360,40596,非共有
英郡年华 ,2室2厅,66.51,东北,其他,有,348,52323,非共有
华盛西荟城4期 ,2室2厅,68.49,南,毛坯,有,490,71544,非共有
紫光名苑 ,2室1厅,60.53,南,其他,有,520,85908,非共有
联城美园 ,2室1厅,60.83,东,精装,有,426,70032,非共有
庐山花园 ,3室1厅,70.87,南,简装,有,290,40920,非共有
御景湾 ,3室1厅,97.24,东南,简装,有,970,99754,非共有
阳光海景豪苑 ,2室2厅,56.95,北,精装,有,610,107112,非共有
中海康城国际一期 ,3室2厅,87.39,南,精装,有,410,46917,非共有
皇御苑二期 ,3室2厅,112.83,东北,简装,有,790,70017,非共有
慢城一期 ,4室2厅,119.98,南 北,简装,有,530,44175,非共有
国展苑 ,2室1厅,81.3,南 西南,简装,有,317,38992,非共有
绿景花园二期 ,2室1厅,72.69,南,精装,有,690,94924,非共有
万豪御景苑 ,2室1厅,34.96,东,精装,有,445,127289,非共有
现代城华庭 ,2室2厅,64.7,东南,精装,有,650,100464,非共有
可乐园 ,2室2厅,49.15,东南,简装,无,310,63073,非共有
深蓝季节 ,2室1厅,60.54,东,精装,有,680,112323,非共有
香山美墅·果岭 ,4室2厅,167.28,东南,精装,有,2300,137495,非共有
波托菲诺侨香诺园 ,5室2厅,145.97,东南,精装,有,1680,115093,非共有
丽景城 ,3室2厅,87.55,东南,简装,无,620,70817,非共有
花语岸 ,3室2厅,85.32,东北,精装,有,425,49813,非共有
山海津 ,2室1厅,71.39,西南,精装,有,665,93151,共有
桃源村二期 ,3室2厅,92.88,南,简装,有,645,69445,共有
冠城世家 ,3室1厅,118.67,西南,简装,有,1010,85110,非共有
桃源村二期 ,3室2厅,93.22,东南,精装,有,660,70801,共有
塘朗雅苑 ,3室2厅,87.42,北,精装,有,880,100664,共有
东方明珠城 ,4室1厅,106.61,南,精装,有,380,35644,非共有
福园小区 ,4室1厅,150.29,南,精装,无,370,24620,非共有
信义御城豪园 ,4室2厅,112.48,南 北,精装,有,485,43119,非共有
百仕达红树西岸 ,3室2厅,191.85,南,精装,有,3300,172010,共有
好来居 ,1室1厅,26.74,东北,精装,有,320,119671,非共有
大世纪水山缘 ,3室2厅,85.18,西北,其他,有,360,42264,共有
嘉霖华禧 ,3室2厅,85.28,南,其他,有,520,60976,非共有
绿景花园二期 ,1室1厅,46.5,西,精装,有,445,95699,非共有
麟恒中心广场二期 ,3室2厅,89.24,西南,其他,有,438,49082,非共有
天骄世家 ,3室1厅,79.7,东 北,精装,有,578,72522,非共有
金洲嘉丽园 ,3室2厅,89.33,南,其他,无,470,52614,共有
金地上塘道二期 ,3室1厅,89.27,南,精装,有,700,78414,非共有
怀德公元 ,3室2厅,88.55,西,精装,有,630,71147,非共有
恒大国香山 ,3室2厅,89.17,南 北,精装,有,410,45980,非共有
金地鹭湖1号 ,3室2厅,89,东南 西南,其他,有,520,58427,非共有
天峦湖 ,3室2厅,88.52,东南,精装,有,345,38975,共有
