area,direction,elevator,fitment,name,property,total_price,type,unit_price
68.65平米,东,有,精装,鸿荣源尚峰 ,共有,460,2室2厅,单价67007元/平米
76.53平米,南,有,精装,中海西岸华府南区 ,非共有,425,3室2厅,单价55534元/平米
62.54平米,西南,有,精装,京基一百大厦 ,共有,530,2室1厅,单价84746元/平米
98.63平米,北 南,有,简装,长城二花园 ,共有,1520,3室2厅,单价154112元/平米
74.8平米,西北,无,精装,加洲花园 ,非共有,338,3室1厅,单价45188元/平米
36.49平米,东南,无,简装,天安公寓 ,非共有,280,2室1厅,单价76734元/平米
244.19平米,东南 南,有,精装,香山美墅二期 ,非共有,3650,5室2厅,单价149474元/平米
68.65平米,东南,有,精装,星河华居 ,非共有,540,2室1厅,单价78660元/平米
53.01平米,北,无,精装,园岭新村 ,非共有,698,2室1厅,单价131674元/平米
43.47平米,东北,有,精装,皇庭彩园 ,非共有,388,1室1厅,单价89257元/平米
59.14平米,西南,有,简装,太古城南 ,非共有,1080,2室2厅,单价182618元/平米
68.66平米,西南,有,简装,香缤广场 ,非共有,560,2室1厅,单价81562元/平米
75平米,北,无,精装,桃源居十二区 ,非共有,412,2室2厅,单价54934元/平米
81.73平米,南 北,有,精装,嘉葆润金座 ,非共有,780,4室2厅,单价95437元/平米
85.92平米,东南,有,毛坯,深物业前海港湾花园 ,非共有,1000,3室2厅,单价116388元/平米
89.3平米,北,有,精装,深房传麒尚林 ,非共有,348,3室2厅,单价38970元/平米
118.42平米,南,无,简装,鹏达花园 ,非共有,285,3室2厅,单价24067元/平米
118.3平米,南,有,简装,东方御花园 ,非共有,598,4室2厅,单价50550元/平米
47.66平米,东,有,其他,凤凰雅居 ,非共有,436,2室1厅,单价91482元/平米
73.28平米,南 北,无,简装,城市假日花园 ,非共有,690,2室2厅,单价94160元/平米
89.28平米,南,有,精装,万科红四期 ,非共有,586,3室1厅,单价65637元/平米
94.57平米,西南,无,简装,海虹苑 ,非共有,660,3室2厅,单价69790元/平米
98.75平米,西北,有,精装,富盈门 ,非共有,640,3室2厅,单价64811元/平米
87.22平米,南,有,毛坯,金众云山栖 ,非共有,340,3室2厅,单价38982元/平米
51.61平米,南,无,精装,科技园三十四区 ,非共有,750,2室1厅,单价145321元/平米
70.49平米,东南,无,简装,桃源村一期 ,共有,515,3室1厅,单价73061元/平米
125.05平米,南 西南,有,精装,深业新岸线三期 ,非共有,1230,3室2厅,单价98361元/平米
146.83平米,东南,有,精装,世界花园 ,非共有,1050,4室2厅,单价71512元/平米
97.13平米,南,无,简装,凤凰街58号大院 ,非共有,555,3室2厅,单价57140元/平米
47.51平米,南,有,简装,韵动家园 ,非共有,350,1室1厅,单价73669元/平米
93.87平米,东南,有,简装,上百间 ,共有,292,3室1厅,单价31107元/平米
91.08平米,南,有,精装,华业玫瑰四季馨园二期 ,共有,732,3室2厅,单价80369元/平米
75.64平米,东南,有,精装,深业御园 ,非共有,235,3室2厅,单价31069元/平米
108平米,东北,有,精装,天峦湖 ,非共有,392,4室1厅,单价36297元/平米
97.01平米,南,无,精装,万科城一期 ,非共有,650,3室2厅,单价67004元/平米
91.27平米,南,有,精装,翰岭院 ,非共有,820,3室2厅,单价89844元/平米
88.38平米,南,有,毛坯,全盛紫悦龙庭 ,非共有,435,4室1厅,单价49220元/平米
91.81平米,南,有,简装,富通好旺角二期 ,共有,845,3室2厅,单价92038元/平米
87.3平米,东南,有,精装,华盛西荟城4期 ,非共有,570,3室2厅,单价65293元/平米
68.18平米,北,无,精装,中兆花园 ,非共有,253,3室2厅,单价37108元/平米
44.15平米,东,有,精装,豪方菁园 ,非共有,235,3室1厅,单价53228元/平米
95.35平米,西北,有,简装,福德花园 ,非共有,475,3室1厅,单价49817元/平米
118.56平米,南,有,精装,汇龙湾 ,非共有,1500,4室2厅,单价126519元/平米
89.24平米,西南,有,毛坯,碧海君庭 ,非共有,830,3室1厅,单价93008元/平米
33.6平米,西北,有,精装,缤纷时代家园 ,非共有,400,1室1厅,单价119048元/平米
99.95平米,东南 南,有,精装,美丽365花园 ,共有,460,3室1厅,单价46024元/平米
79.46平米,东南,有,毛坯,天汇城 ,非共有,498,3室2厅,单价62674元/平米
143.05平米,南 北,有,精装,万科金域华府 ,非共有,1220,5室2厅,单价85285元/平米
48.37平米,东南,有,精装,鸿隆广场 ,非共有,399,2室2厅,单价82490元/平米
88.84平米,东南 南,有,毛坯,鸿荣源·壹成中心第七区 ,非共有,690,4室2厅,单价77668元/平米
76.62平米,东南,有,精装,珑门二期 ,非共有,385,3室2厅,单价50248元/平米
76.65平米,南,有,精装,仁恒峦山美地 ,共有,399.7,3室2厅,单价52147元/平米
87.84平米,南,有,精装,颐安都会中央二期 ,非共有,550,3室1厅,单价62614元/平米
88.9平米,西南,有,精装,万科麓城三期 ,非共有,550,3室1厅,单价61868元/平米
175平米,东北 北,有,精装,汉京九榕台 ,非共有,2290,3室2厅,单价130858元/平米
90.35平米,南,有,简装,信义假日名城四期锦绣园 ,非共有,450,3室1厅,单价49807元/平米
68.18平米,北,无,简装,中兆花园 ,非共有,255,3室1厅,单价37401元/平米
107.68平米,东南,有,毛坯,卓能雅苑 ,非共有,610,3室2厅,单价56650元/平米
83.74平米,东南,有,简装,中城康桥花园二期 ,非共有,385,3室1厅,单价45976元/平米
95.3平米,西南,无,简装,富怡花园 ,非共有,525,3室2厅,单价55090元/平米
77.1平米,西南,有,简装,侨城馨苑 ,非共有,650,2室1厅,单价84307元/平米
86.95平米,西南,有,毛坯,珑门 ,非共有,430,4室2厅,单价49454元/平米
89.66平米,东南,有,简装,深圳海航城 ,非共有,318,3室2厅,单价35468元/平米
87.08平米,东南,有,精装,振业天峦 ,非共有,335,3室2厅,单价38471元/平米
92平米,东南,有,简装,景鹏大厦 ,非共有,588,3室2厅,单价63914元/平米
94.27平米,南 北,无,简装,中海怡翠山庄三期 ,非共有,393,3室2厅,单价41689元/平米
97.53平米,西北,有,简装,东方半岛花园A区 ,非共有,355,3室2厅,单价36400元/平米
88.68平米,东南,有,简装,慢城三期 ,共有,459,4室1厅,单价51760元/平米
119.44平米,西南,有,精装,金港华庭 ,非共有,760,4室1厅,单价63631元/平米
81.71平米,东 南,有,精装,阳基御龙山 ,非共有,460,3室2厅,单价56297元/平米
89.92平米,南,有,简装,汇龙天下 ,非共有,290,3室1厅,单价32251元/平米
83平米,东南,无,精装,中海怡美山庄 ,非共有,385,4室2厅,单价46386元/平米
80.4平米,东南,有,简装,朗晴馨洲 ,非共有,580,3室1厅,单价72140元/平米
87.71平米,东南,有,精装,莱蒙水榭春天5期 ,非共有,1120,3室2厅,单价127694元/平米
128.25平米,南,有,精装,粤海花园 ,非共有,470,3室2厅,单价36648元/平米
101.3平米,东南,无,简装,宝民花园 ,非共有,530,3室2厅,单价52320元/平米
76.16平米,西南 西,有,毛坯,华侨城四海云亭 ,非共有,450,2室2厅,单价59087元/平米
88.77平米,西南,有,精装,鸿荣源·壹成中心第七区 ,非共有,715,4室2厅,单价80546元/平米
46.66平米,东北,有,简装,金海岸大厦 ,非共有,515,2室1厅,单价110373元/平米
100.7平米,南,有,精装,水木澜山居 ,非共有,850,3室1厅,单价84410元/平米
104.79平米,东,有,精装,天地大厦 ,非共有,515,3室1厅,单价49146元/平米
81.71平米,东南,有,精装,阳基御龙山 ,非共有,450,3室2厅,单价55073元/平米
98.21平米,西北,有,简装,梅林一村九区 ,非共有,739,3室1厅,单价75247元/平米
71.08平米,西,有,精装,后海名苑居南区 ,非共有,575,2室2厅,单价80895元/平米
89.33平米,南 北,有,简装,英郡年华 ,非共有,390,3室1厅,单价43659元/平米
58.42平米,西北,有,简装,雅仕荔景苑 ,非共有,645,2室1厅,单价110408元/平米
88.38平米,东南,有,简装,全盛紫悦龙庭 ,非共有,400,3室2厅,单价45260元/平米
98.77平米,南,有,简装,中海怡瑞山居 ,非共有,345,3室1厅,单价34930元/平米
81.27平米,东北,有,精装,光明1号 ,非共有,460,3室2厅,单价56602元/平米
66.9平米,南,无,毛坯,高嘉花园 ,非共有,330,3室2厅,单价49328元/平米
75.77平米,东南,有,简装,世纪广场 ,非共有,518,2室2厅,单价68365元/平米
88.36平米,北 南,有,精装,华盛观荟名庭 ,非共有,550,4室2厅,单价62246元/平米
49.02平米,东南,有,精装,松坪村西区三期 ,非共有,515,2室1厅,单价105060元/平米
89.64平米,北,有,简装,中信湾上六座 ,非共有,830,3室1厅,单价92593元/平米
48.41平米,南,无,精装,凯丰花园综合楼 ,非共有,306,3室1厅,单价63211元/平米
77.59平米,东南,有,精装,黄金大厦 ,非共有,590,3室2厅,单价76041元/平米
76.36平米,西南,有,精装,万科金域蓝湾二期 ,非共有,708,2室1厅,单价92719元/平米
88.46平米,东 西,有,精装,倚山花园三期 ,非共有,480,3室2厅,单价54262元/平米
94.93平米,北,有,简装,国都高尔夫一期 ,共有,670,3室1厅,单价70579元/平米
107.67平米,南,有,精装,新亚洲花园 ,共有,425,3室1厅,单价39473元/平米
69.48平米,西,有,简装,怡康家园 ,非共有,283,3室1厅,单价40732元/平米
64.36平米,南,有,简装,星海名城一期二组团 ,非共有,620,2室1厅,单价96334元/平米
78.37平米,东南,有,简装,帝景峰 ,非共有,276,3室1厅,单价35218元/平米
82.62平米,东南,有,毛坯,珑门二期 ,非共有,420,3室2厅,单价50836元/平米
86.92平米,西南,有,精装,鸿荣源·壹城中心第五区 ,非共有,678,4室2厅,单价78003元/平米
114.42平米,东 北,有,精装,长城盛世家园一期 ,非共有,795,3室2厅,单价69481元/平米
