album_name,interval_name,singer_name,song_name
爱，存在,284,林小珂,爱，存在
乘风破浪的姐姐 第5期,240,张含韵,这是因为我们能感到疼痛 (Live)
乘风破浪的姐姐 第5期,238,白冰,仰世而来 (Live)
飞鸟和蝉,296,任然,飞鸟和蝉
Smile,166,Katy Perry,Smile
说唱听我的 第5期,178,西米,爱乐之城 (Live)
乘风破浪的姐姐 第5期,252,蓝盈莹,用尽我的一切奔向你 (Live)
独家浪漫,259,Dirty Twinz,独家浪漫
乘风破浪的姐姐 第5期,210,万茜,Manta (Live)
说唱听我的 第5期,174,老胡Khufu,将相和 (Live)
小行囊,189,马健涛,小行囊
我的快乐时代,249,陈奕迅,黄金时代
乘风破浪的姐姐 第5期,196,宁静,Flow (Live)
María,199,华莎 (화사),마리아 (Maria)
你的万水千山,249,海来阿木,你的万水千山
桃源,192,阿云嘎,桃源
莲,150,张艺兴,蹦（Boom）
乘风破浪的姐姐 第5期,239,袁咏琳,相爱后动物感伤 (Live)
想起了你,216,程响,想起了你
等雨,183,糯米Nomi,等雨
H³M,275,陈奕迅,沙龙
The Line-Up,265,陈奕迅,防不胜防
我爱你不问归期,254,白小白,我爱你不问归期
歌 时代II,322,张信哲,信仰
说唱听我的 第5期,171,JD,脑袋有 (Live)
说唱听我的 第5期,156,Kc,擦玻璃 (Live)
U-87,244,陈奕迅,夕阳无限好
乘风破浪的姐姐 第5期,238,伊能静,女孩儿与四重奏 (Live)
请记住我,258,孟梓,请记住我
我们会记得,207,Uu,我们会记得
Floating (feat. Khalid) [filous Remix],200,Alina Baraz,Floating(feat. Khalid) (filous Remix)
空荡荡,260,赵偲旖,空荡荡
说唱听我的 第5期,218,张昊,楼梯 (Live)
사이코지만 괜찮아 OST Special Track vol.1 (虽然是精神病但没关系 OST Special Track vol.1),254,Elaine (일레인),Wake Up
说唱听我的 第5期,192,江旻勋,进退两难 (Live)
Top Hits for Working Out,194,Maxime Denis,Señorita
明日之子 第2期,111,廖俊涛,谁 (Live)
千嬅盛放,221,杨千嬅,勇
星月神话,251,金莎,星月神话
사이코지만 괜찮아 OST Part.4 (虽然是精神病但没关系 OST Part.4),268,李秀贤 (이수현),아직 너의 시간에 살아 (In Your Time)
要我怎么办,209,李荣浩,要我怎么办
五月天 突然好想见到你 live in the sky,270,五月天,突然好想你 live in the sky (Live)
明日之子乐团季 第1期,160,廖俊涛,无言以说 (Live)
你走,244,松紧先生（李宗锦）,你走
说唱听我的 第5期,164,土人儿TRE,隐 (Live)
乘风破浪的姐姐 第5期,235,张雨绮,管他什么音乐 (Live)
祈愿,197,壹基金,祈愿
春庭雪,240,等什么君,春庭雪
下山（梦幻西游方寸山门派曲）,173,要不要买菜,下山
说唱听我的 第5期,177,葛兆恩Kodii,OK！ (Live)
相信你的人,274,陈奕迅,相信你的人
